Topic,Count,Name,Representation,Representative_Docs
23,88,23_gift_account_card_cards,"['gift', 'account', 'card', 'cards', 'my', 'your', 'locked', 'email', 'closed', 'blocked']","['amazon account specialists will close customers accounts with huge gift card balance inside without reason. how can amazon sell gift cards and later block your account when you use said gift cards on your account? amazon is a fraud company', ""my first experience with #amazon is horrible! i dont know with this level of service how they became such a popular site!!!i received an email gift card from my office as my farewell gift on october 8th, 2020. after that, i opened an account on amazon.ca as i am living in canada. then i checked my amazon gift card on an email that i received, there i have seen a gift card redeem option on my email so i redeemed my points and it said it is added to my account. then i ordered a few items from my account using my gift card balance. amazon also confirmed that order by email. after a few hours, i received another email saying something suspicious happening in my account so they froze my account. the email says to activate my account i have to reply their email with details of my gift card. so i have replied the email using the order number of my gift card and a screenshot of that email. though i replied to the email still i was receiving the same email multiple times and i replied two times to those emails with all details, nobody returned to me with any solution! then i called amazon customer service. they took all notes and told me they wanted to make sure this is me, they have taken my address details and phone number and told me i will hear from them within 3/4 days. i was waiting for thier email or phone call, nobody contacted me and my account remained on hold. then after waiting gor 4 days i called again to thier customer care and repeated the whole complaint process that took around 40/50 minutes. this time again the customer care gave me hope that they are going to solve it. the customer care agent told me the problem my account is on amazon.ca but for redeemed points and purchase they used amazon.com id as i was doing it directly from my email gift card. then i asked how is that possible, as i never opened account on amazon.com. his reply was the system doesnt require a new account, it just used the same information i used for amazon.ca, as my gift card was from amazon.com. since then it's been more than 5 days i am still waiting for thier reply and my account is also on hold. i cannot use my account anymire. i dont know whether i will be able to get back my gift card money which is 225us$. i just want to use my gift card, hopefully i will never go for amazon shopping in future and will not suggest anyone.i have no idea what kind of service it is!?sania rahmancanada"", ""amazon has stolen $2000 dollars in amazon gift cards from me. not only from one amazon account but two of my accounts.. on one of my accounts i had $500 in amazon gift cards on and that account was locked. so i loaded $1500 on my other account thinking i could resolve the issue later. then the account with $1500 was also locked. i have no clue how to get my money back from amazon after months of phone calls and only one response to my emails. apparently, from my reseach they are stealing millions a year in amazon gift cards from their customers this way. if this theft of gift cards happens to you report amazon to the better business bureau asap. .....because they will just get stonewall you and nothing will be returned to you nor will they help you to resolve the issue so you just left guessing about why they could just steal from you. i have heard that it could be for the craziest of reasons they lock up your account... some reasons include ..if you buy certain products with your gift cards its like a booby trap and they will lock your money and not give it back...if you're a new amazon account they will lock your money from you.. if you put $500-$1000 amazon gift cards on your account they will lock your account as soon as you go to buy something. you can put 10 of thousands of gift cards on your balance but as soon as you go to spend them they steal it all which is their major source of ill-gotten profits. even if you go traveling and you purchase something with your gift cards they will lock your account a separate you from your money and pretend you are not from the us so they have the right to steal your gift card balance from you. this a horrible and criminal thing that amazon is doing non of these reasons are justifying this theft by amazon of its customers. they are exploiting their power and looting the little guy with unfair policies and business practices.. case action lawsuits are the only way to stop them..they have become drunk with power and have gone to far...and they are not going to stop because they are making to much money by giving themselves permission to steal from their customers who use amazon gift cards. its criminal and amazon should be ashamed of itself, this is a total disgrace of a company..and jeff bezos how could you allow this to happen as if there will be no consequences for stealing millions of dollars from your customers..... just because you need the profits because you screwed your company up in bad business deals..you can know for sure this an organized system of theft that needs to be brought down, this is criminal activity at the highest level and you know amazon cant get away with this.""]"
24,87,24_china_chinese_products_made,"['china', 'chinese', 'products', 'made', 'from', 'you', 'sellers', 'cheap', 'in', 'selling']","['do not, ever, order products coming from china on amazon, it is a total fraud. the product shows as shipped and then a chinese tracking company says it is delivered but it is a total lie, nothing is delivered. you have to spend a lot of time making a claim on amazon and you may not get any money back. i do not know how amazon allows this fake chinese companies to sell on amazon.', 'used to be an ok company that sold decent products but for the last 5 or 6 years it is a crap shot as to whether you are getting a quality product or not. they will not tell you in the description if something is being made in china or not and they allow bogus reviews to get the rating of a product up because they know most people look for things with as close to a five star review as possible. they also allow false advertisement on their site. numerous products have pictures to show you what it is they are selling but once you receive the item it’s nothing like what was pictured. that is another thing actually receiving your purchase. i’m so tired of it a logistics issue. i can receive items from other companies with no issues but amazon can’t seem to find my house. if i do get what i ordered it is almost always after the promised delivery date. they advertise two day delivery for prime and i do good to get within 5 days, if i get it at all. i actually quit buying clothes off of amazon because 99% of all clothes on amazon are made in china and sizes in china are totally different than they are in the us. that or they deliberately make them smaller so you waste your money buying them.', 'amazon has become a china rep.. they should warn people that the product they are buying comes from a chinese distributor. if i wanted to buy from china, i would go directly to their chinese site and save 75% on the same item amazon sells.']"
25,83,25_worst_customer_service_rude,"['worst', 'customer', 'service', 'rude', 'ever', 'horrible', 'zero', 'care', 'bad', 'they']","['the customer service is so bad. i never deal with worst than that ever.', 'worst customer service ever. i spent close to 12 hours chatting and speaking with customer service on the phone over a couple of orders that were not received. after assuring me they would take care of it and wasting my time they finally asked me to file a police report in order for them to credit my account, which i had to do to get my money back. rude and ignorant customer service reps that fo not care at all for their customers. the worst of everything is that i actually pay to be a”prime member”. they used to be a great company before getting bigger.', 'worst customer service ever. they do not care about you.']"
26,83,26_good_amazing_excellent_best,"['good', 'amazing', 'excellent', 'best', 'service', 'always', 'great', 'thanks', 'happy', 'thank']","['good service', 'good service.', 'good service']"
27,75,27_kindle_books_book_kindles,"['kindle', 'books', 'book', 'kindles', 'my', 'credit', 'unlimited', 'was', 'for', 'download']","['amazon charged me twice with kindle unlimited. they claimed i subscribed to it when i do not own a kindle and have no kindle apps on any of my devices. how in the world was that ever allowed to happen! i will never ever use them again!!!! they made a subscription for me using my credit cards. that is wrong and they should get reprimanded for their actions.', ""no. this is the second time i've purchased a kindle. the first time the kindle (kindle voyage) stopped responding 3months after the warranty period expired. i have to purchase a new kindle on my own to replace it. this one, has a line on the screen, 2 weeks after purchase. i literally woke up and found a small line on the screen when i reached pver my bedside table for it, despite not dropping it, nothing fell on it and the kindle being the only thing on the table. my kindle was still within warranty, so i contacted kindle support, explained to them, hoping for some support as i am concern that the little line will cause systematic malfunctioning. however, all the customer service officer (his name is arif) cared about was whether or not it was a physical damaged and that my warranty doesn't cover that damage despite that i had done nothing to cause it. no care about my concerns, nothing. just offered a replacement which i had to pay for. no i will not being buying another kindle device if i can help it. they are fragile and amazon know it, they won't try to replace your device even if you're in the warranty period, they will try to swindle you to buy another. enough is enough. don't get your hopes up if you need a replacement, they will try to pin it on you."", 'i attempted to trade-in a an old kindle for a new one. after they received my kindle i was told it was not in good enough condition to receive the credit. i was charged for the $30 credit i already used and asked to have my kindle sent back to me as it was still in working condition. amazon sent me the wrong kindle back along with a speaker that was not mine. i attempted to contact customer service during the pandemic unsuccessfully. i recently made contact with them and the only thing i wanted was my kindle back. unfortunately that was not an option and all i received was the $30 credit back. i’m lucky i received that back but ultimately am still out a perfectly good tablet. overall i would caution people on trading items in as the company does not make it right if the item is lost.']"
28,74,28_chair_furniture_pdt_seller,"['chair', 'furniture', 'pdt', 'seller', 'chairs', 'table', 'pm', 'it', 'albert', 'amal']","['appalling customer service.i have purchased from amazon many many times and never had an issue. this said however on 12 december i ordered a large item (a chair/bed) which is something i have not done before. i needed the chair/bed for a guest visit and ordered it on 10 december. i was initially happy with the fast delivery date which was due to be 14 december. however despite the fact that amazon claim to have attempted delivery in 14 december this attempt definitely didn’t not happen (i have an advanced security system which i had reviewed) when the chair eventually arrived with no notice in 18 december on a dark wet and windy evening it was left by my gate in the rain until i could get help to lift the very heavy boxes inside. once inside it took hours to put the chair together with the poor and hard to follow instructions. once installed it was apparent that the chair was of very poor quality and defective. i immediately reported the matter to amazon who quite frankly have been totally unhelpful. they have basically explained the item is from a ‘third party seller’ which apparently means they don’t really care!! i have always believed that items bought on the amazon platform gave me some kind of protection but this is definitely not the case. i am now still arguing with the ‘third party seller’ with no help from amazon. i have been informed that the seller sees no problem with the chair which quite frankly is alarming in itself. i have been told i need to return the chair in the original packaging (which i don’t have as it arrived wet and damaged) and pay for a courier to collect it !! i have since discovered that previous reviews of the same chair are much of the same . please read reviews before making any purchase these are often informative and an insight into the kind of company you are dealing with .', 'i ordered a electric wheelchair in nov 22. i am a disabled vet and need one to get around. two weeks after we had the chair, sparks flew out of the control box when we connected the charger. we called the company that sold it, and they said they would send a new box. weeks turned to months that we waited for this box. we were being told there was a holiday in china and as soon as it was over, they would send the part. after about 7 months of calls and complaints, they talked us into buying another chair of higher quality for half price. $500. we ordered it and it was junk. it needed to be charged 3 times the first day and was so slow it was useless. we asked to return the items, and they would not send us return labels. we wanted our money back so we could buy a quality chair. after arguing for a while, we asked amazon to step in. speaking with these people we got a lot of wrong information. every time i said something to them, i had to wait either 72hrs or a week for the seller to answer. they sent it to an a-z department to settle this while i was told a number of times, i would get my money back. this department refused to do anything saying i did not return the item in the allowed 30 days. they refused to recognize that the seller kept promising a replacement part. i will continue to tell others about my experience as a warning to them about the dishonest customer service i received. it is a shame because they seem so proud of themselves backing the customer and making sure the customer is satisfied. i found out the hard way, and it cost me $1500 that amazon like so many others is just a bunch of talk!', 'i placed an order on september 20th on amazon for two chairs one of the chairs showed up on september 23rd with holes in the fabric so i wanted to return it. i\'ve had issues in the past with replacements and the whole back and forth so i decided i\'d just order a different chair thinking i\'ll just pay myself back once my refund is processed. i reach out to amazon ""customer service"" and this is what they say: customer contact date : 2023-09-24 01:16:54 pm pdt01:18 pm pdt albert: hello these chairs showed up with holes and rips and the seller wants me to pay to return this and i’m not really thinking that’s fair if i send you a product that’s damaged and you want to return them to me do you feel like you should pay to do so? 01:19 pm pdt amal: hi, albert. amal here to assist you today01:19 pm pdt albert: thank you hi amal01:19 pm pdt amal: i\'m sorry to know that your order arrived damaged.let me check and assist you with it.01:20 pm pdt albert: ok thank you01:21 pm pdt amal: thanks for waiting.01:22 pm pdt amal: for seller items,if you try to create the return through the order, return label won\'t be prepaid.that\'s what happened.i\'ll contact the seller and inform them to provide prepaid return label for return01:23 pm pdt albert: ok i apologize i did click something that say no thanks ill do it for free and thought i was all set but i appreciate you for clearing it up for me and helping me out thank you01:24 pm pdt amal: please note that when you order an item from seller and if you need return label, we need to contact the seller.don\'t request the return through your order01:25 pm pdt amal: i\'ve informed them to provide the prepaid label for return01:25 pm pdt albert: ok thank you01:25 pm pdt amal: you\'ll be receiving the label via email. you\'re most welcome! i hope i was able to assist you with this. is there anything else i can assist you with today? 01:26 pm pdt albert: that was it thank you01:26 pm pdt amal: it was a pleasure assisting you today!i think great! alright so my problem is taken care of right? i\'ll get the return label and send them back now.wrong. lilypelle reaches out to me amazon says this is the seller? anyway they say they\'ll send me a replacement cushion instead of my refund. i say no thanks as i already ordered my new chair. lilypelle stops replying to me at this point. so message amazon on again! i know this because i wait till the 27th of september and speak to nashreen she says: ""09:48 am pdt nashreen: no worries albertthe seller will contact you within 24-48 hrs and arrange the free pick up for you.in case, they not process the return within 48 hrs, we will file a-z claim for full refund without returning the item."" she also tells me to wait till sept 29th and reach back out to amazon for the claim to start. customer contact date : 2023-09-29 05:38:22 pm pdt05:40 pm pdt albert: hi john i haven’t heard back from the seller regarding a pick up or a return label to ship back for free05:45 pm pdt john zodin: thank you for patiently waiting. i can see here that the seller responded to your email and they are willing to give you the refund without returning the item, you can keep, dispose or donate the item, i can message the seller for you now, are you willing to accept their offer?05:45 pm pdt albert: yes i’m happy to receive my refund that’s all i want05:46 pm pdt john zodin: alright, let me message the seller for you and to let them know that you are fine with their offer, it will only take a moment.05:46 pm pdt albert: thank youthe seller refunds me exactly half of my money back $106.70 i\'ll make this quick to catch you up from this point since you have the important stuff now.going forward they are insistent i send back the chairs now to get the rest of my money back. a-z claim denied 11/13 because seller told them i shipped back an item that wasn\'t the correct item. i hadn\'t sent them anything yet, (yes, lilypelle lied and a-z asked no questions or for no proof from them or me) until i finally agree to because a manager tells me they would refund me the shipping cost once it\'s sent. low and behold they are now refusing to refund me the shipping cost which amounted to $175.35 as it exceeds their max amount which if you read back no one mentioned anything about a max amount on the shipping. when they offered me to ship it back and pay me the shipping costs once it\'s received by the seller i took them at their word. now not only am i out the other half of my refund as the seller still won\'t respond to me i\'m also out the shipping costs because amazon customer service can\'t do their most basic tasks properly. i\'m now out a total of $282.05 and my lawyer says we start with a demand letter as i downloaded my data which included phone calls and messages back and forth so see you soon amazon. also i recommend if they don\'t refund you to just dispute the charge @ bank']"
29,68,29_headphones_airpods_apple_earbuds,"['headphones', 'airpods', 'apple', 'earbuds', 'pair', 'the', 'ordered', 'back', 'and', 'me']","['i was scammed by this company. i ordered wireless headphones for £150. the headphones were the wrong color, so i decided to return them. the instructions were for me to take the item to an amazon location. so i did. the postal worker scanned the product. he put it in the box and did everything for me as per the instructions. he even let me take a photo confirming that the product had been returned. i received a return parcel code. the problems started when on the same day i saw that the product did not have an updated status as ""dropped off"". i called amazon and an indian guy told me on the phone that everything was fine and that they were having problems updating the system and everything would be fine tomorrow. nothing like that happened. 3 weeks have passed and they told me in amazon chat that i would not receive my refund. because they didn\'t receive my drop off. i was shocked and gave them the tracking number. they said that it was an invalid number and that we were ending the discussions and turned off the chat. i was in total shock. be careful with this company, i lost my christmas present and £150. don\'t buy anything on amazon! there is no money back guarantee like on ebay. people, buy only on ebay, there you have a money back guarantee and no one will cheat you.', 'worst experience on online shopping ever!! amazon can’t keep track on what their sellers mail to their buyers. i ordered the mpow headphones (red color) and instead received a black/neon green pair of headphones made by yuanguo. i tried to get my money back and instead their costumer services negotiated with me to resend a replacement and amazon costumer services guaranteed that this time i would receive what i bought. the replacement arrived and now i’m stuck with 4 pairs on earbuds i never ordered. i’m very upset and would like to be sent the product that i actually ordered. i will never buy anything with amazon again. amazon needs to wake up for that and keep a better track on what’s being send by the sellers.', 'worst experience on online shopping ever!! amazon can’t keep track on what their sellers mail to their buyers. i ordered the mpow headphones (red color) and instead received a black/neon green pair of headphones made by yuanguo. i tried to get my money back and instead their costumer services negotiated with me to resend a replacement and amazon costumer services guaranteed that this time i would receive what i bought. the replacement arrived and now i’m stuck with 4 pairs on earbuds i never ordered. i’m very upset and would like to be sent the product that i actually ordered. i will never buy anything with amazon again. amazon needs to wake up for that and keep a better track on what’s being send by the sellers.']"
30,67,30_shoes_pair_size_socks,"['shoes', 'pair', 'size', 'socks', 'ordered', 'shoe', 'boots', 'them', 'feet', 'of']","[""amazon has the best customer care services between all the stores and online shopping websites i use. they're fast, and whenever you send emails or contact any of their representatives, they give you all the answers you need and on time. i just bought a pair of shoes and i was worried about the size because i found a review that said that the size came wrong, so i told them about it, and i got the correct size and they also sent an email asking about how it fit! i'm more than happy with my choice."", ""i don't know what is happening with amazon. it used to be that you would get fantastic service and customer support, but lately, everything is a mess. i bought a pair of shoes and got the wrong size, so they sent me a replacement, and i got the wrong size again. i decided to return the item and get the shoes from a different place, and two weeks later, i haven't received my refund!!! i also bought a fire stick, and it is defective, so amazon again offered a replacement, but the replacement never came when i called amazon again, saying that i even had an email with a tracking number. now they are saying that it was a mistake from the customer representative, and they can not send me a replacement even when the item is under warranty. i’m a prime member and basically i buy everything on amazon but never again!!"", 'ordered size 5 shoes , first pair came in sexy 4, 2nd replacement sent in size 4, 3rd replacement sent in size 4 too! is a bloody joke , now i’m stuck with 3 pairs of size 4 shoes and have to post them back to get my money back!! not happy at all .all you hear is “we sorry that happened to you, we gonna escalate this “ twice this year it happen, i think it’s time to go somewhere else , amazon is loosing it.']"
31,65,31_laptop_monitor_computer_was,"['laptop', 'monitor', 'computer', 'was', 'refund', 'hp', 'me', 'and', 'it', 'the']","[""re: order number 114-4658012-9669868 (hp laptop - $689)dear readers i am an english lawyer and bought a laptop from amazon 2 weeks ago. i double checked the customs import duties, was assured it was correct, paid up front, was promised delivery by 16 july 2024 and guess what?... yesterday i was informed that my laptop was returned to sender because the tax/duties was incorrect. thank you amazon, i was really looking forward to receiving my product and now you will, undoubtedly, have me jumping through obstacles as you hang on to my money and refund in a few months on the premise that you have administrative checks. shame on you for treating customers this way. are you going to reimburse me for my loss of % on my bank account, bank charges, inconveince? no way as half the time you use stupid ai. i tried to phone you in accordance with your helpline and got a message saying press 150 when i did it disconnected me. i repeated this 3 times with the same result. so much for your ai; it's rubbish at the expense of a human being losing their job, income and prospects. dear readers, my experience is horrible and causes loss and inconvenience. i would be very cautious in ordering anything expensive which includes import duties / taxes as amazon's systems are lacking and i will now have lots of hassles and waiting for my refund.it's not fair as when you order they demand split second payment, but when things go wrong, i am treated like i am at the back of a long queue and i wish i could give a zero star rating.j n stachiw, solicitor.27 july. this is an update. as predicted, amazon wrote to me saying wait until 17 august and then contact them again! i presume this was an automated email as a subsequent and human email confirmed the parcel was being returned and payment would be made 5 days later. i asked if i would receive any compensation for loss of bank interest etc and this has been ignored. the conclusion here is that amazon are now so big that they no longer have to worry about customer care as they did when they started. commercially they can cut costs by forgetting about customer care and focusing on increasing profits. 20 august 2024well i finally got my refund after a 6 week delay. this is horrendous as their policy is simply to make customers wait before they give a refund. i asked for compensation for my lost bank charges and their policy is to never compensate. they used to be good but now they are focused on profits with a massive middle finger to their customers. i actually proactively and one of hopefully many who will on principle never use amazon again."", 'amazon has done terrible things to me. i have been an amazon prime member for 12 years now. at the beginning their customer service was excellent and i even got their credit card. this past year, however, they have become a nightmare to deal with and have stolen money from me and permanently banned me from writing reviews because of ""suspicious activity"" on my account. let me be clear, i have left maybe 3-4 reviews the entire 12 years i\'ve had my account, and i only reviewed something if it was a terrible product and i tried to save others from buying it.furthermore, i ordered a razer monitor a few months ago, and the package was ripped open when it arrived. i tested the monitor and it was not the model i ordered, so i sent it back. shortly after i received an email stating that i was not getting a refund and they were keeping the monitor i sent back. this was a $1200 monitor, so i lost a lot of money. i tried going through the better business bureau and amazon laughed in my face and said they would be happy to speak to my legal team. most recently i ordered 3 limited edition nintendo switch tears of the kingdom models, and they were stolen off my porch. i have specific delivery instructions i have left amazon, that they are to knock and if no one answers to deliver another time, to make sure my packages didn\'t get taken by porch pirates. well, they refused the refund without a police report, which i did. even after the police investigation was done and the police report was approved, i sent it to amazon as instructed. they still denied me a refund or replacement, so i had to call and argue with them and they finally agreed to the refund. amazon in its current state is a complete mess and they no longer know how to care for their long-term customers who have spent hundreds of thousands of dollars on their platform over 12 years. stay away from this company if you can and order from other online retailers, as places like walmart and bestbuy online are stocking the same products now and they have much better delivery and customer service.', ""i bought a laptop from amazon on the 19th of june 2022 [order number 026-4932158-0409958] and returned this laptop the post office as instructed by amazon on the 20th of june 2022. the laptop did not start even though it was plugged in and it refused to charge so i returned it because the product was clearly faulty. royal mail confirmed that the item was returned on the 21st of june 2022 to the amazon warehouse at 09:12 and an employee at amazon signed for it. i have proof of delivery.one month past and i ordered a new laptop and still didn't get my refund for the faulty laptop so i queried with customer service and was told that my refund would take 5-7 business days. i have email proof from the amazon employee stating that the item i returned has been received and that my refund would be issued in 5-7 business days.i'm still to receive my refund despite numerous incident reports filled out and hours of calls to customer service. it reached the point wear i wanted to make a claim against amazon however i'm afraid the fees would be more than the value of the laptop [849.99 value of the laptop] therefore decided to not take further action. i'm hoping this review finds and amazon employee and they can get back to me on how to resolve this issue. i have all the documentation you require.- order number and purchase receipt- proof of delivery along with the amazon employee signature- email stating that i'll receive the refund with confirmation that the return has been received""]"
32,58,32_problems_great_notch_always,"['problems', 'great', 'notch', 'always', 'never', 'service', 'had', 'any', 'perfect', 'amazing']","['never has any issues,always amazing service', 'great always use them no problems', 'great service. never had any problem with their service.']"
33,54,33_hermes_evri_courier_delivery,"['hermes', 'evri', 'courier', 'delivery', 'parcel', 'item', 'collection', 'via', 'as', 'told']","['hi i contact amazon about return they sad my items will be pick up hermes at home next working days..but over the 5 days dont come after i contact anazon they dint tell me i need drop item for the local strore of hermes..i find this info after i contact my self hermes company..thanks amazon you provide poor service!!!', 'good service only fault is using hermes to not deliver the parcels', 'no problem with amazon usually until today. had ordered 2 items and down for delivery as one consignment, only 1 item delivered by amazon - checked and the other is coming via ""hermes"" but not today as yet again hermes have a problem and no update on hermes app as to when it will arrive, not surprised as i have had 3 deliveries from different retailers in the last 2 months all via hermes and none have arrived on the day, not even on the next day. updates are rare and excuses are poor and undefined. amazon, hermes is bringing your customer satisfaction rates down. time to put it right and find a more reliable delivery service before you lose a customer...........']"
34,54,34_bed_worst_delivery_service,"['bed', 'worst', 'delivery', 'service', 'ever', 'very', 'bad', 'company', 'failed', 'poor']","['first of all it’s hard to understand anyone you get. then nobody knows anything. their customer service is very very bad. plus their delivery service is getting worst.', 'worst delivery service and customer service i have ever experienced with a company', ""delivery service is very very very very very bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bed bedi am very disappointed to your delivery service ઉલ્લુ બનાવે છે amazonflipkart service is superb compare to amazon flipkart service - 100%amazon service - 000%i don't like your delivery system""]"
35,53,35_bed_mattress_beds_was,"['bed', 'mattress', 'beds', 'was', 'sleeping', 'ordered', 'be', 'would', 'base', 'it']","['one star is too good for this review, we ordered a bed set which came with no mattress delivery guys said coming on different van -this was a lie, then had a confirmation email stating item had been delivered so finally found a number to contact amazon spent all day tooing and froing with them result was no mattress had been sent with bed and they couldn’t replace it so refund an £50 amazon voucher given, next day ups driver arrived with only one label said he wouldn’t be able to take the bed, didn’t even look at it. he then informed amazon item wasn’t ready for pick up again a lie, so amazon contacted again advised them this was a two man job but she still said he would be back next day with two more labels. advised bed would be going outside as new bed arriving and if rains it would be damaged she advised she would take full responsibility for this lol. so upshot is don’t order big items from amazon as they’re customer service/after sales is totally rubbish i won’t be using again.', 'ordered 2 mattresses on saturday 31st july for our girls through prime one came sunday no issue but the other was meant to be delivered tuesday 3rd august. as we were redoing the girls bedroom i messaged them in the morning to confirm it would be delivered which they confirmed would be by 9pm so we put the old mattress outside in preparation and as per normal english weather it was rained on but when it got to 7pm and the order stated it wasn’t out for delivery yet i questioned it again only to be told they had changed the date to friday without any communication with myself and the app still advising it would be delivered by 10pm. so we then had to drag the smaller damp old mattress back in and deal with the heat whilst having to dry this mattress before my 9 year olds bedtime we then had to use teddy bears to stop her rolling off the smaller cabin mattress onto the metal base of the new single bed. on tuesday evening after going through several useless advisors i asked to speak to a supervisor who advised she would reorder for delivery the next day (wednesday 4th) but at 11pm on the tuesday after several attempts to get this sorted i got the redelivery information stating delivery would now be thursday the 5th instead so contacted them again and explained the situation over and over again until i was too tired and stressed to argue anymore at 11.45pm and picked it up the next day. after again going through several advisors all day i finally got through to a manager who said because of the issues i had suffered he would guarantee delivery for thursday 5th and refund the order. i have been messaging every hour from 10am this morning until i was blocked by them via chat and when i requested a call back instead i got a message stating i had also been blocked on this also so rang the main number from my work phone to be fobbed off again stating i hadn’t been blocked and me advising i have a screen shot proving i had been as well as chasing an update again as still stated it wasn’t out for delivery. once they’d unblocked me i have now been told this will not be delivered today either and to wait until sunday so will be raising a formal complaint now. if they’d have just been honest and admitted nothing has actually been done we would have, had a refund and gone elsewhere but instead they chose to lie and then block me because i wanted an update because i knew there would be an issue again today. so not only has my one daughter not got a suitable mattress they have had to stay in the house during the 6 weeks holiday because of having to wait for a mattress that may never be delivered!', 'i bought a new mattress from amazon along with a new bed frame and sheets from them. the mattress was due today friday the 9th and the frame and sheets are already here. come to find out they have delayed the shipping of the mattress until august 14. i have already put my bed in storage as i was off today and got up early. set up my new frame and ready to go. i saw the delay message called amazon to see what is going on. first two people i talk to was no help, then i got a team lead. i explained i was going to be sleeping on the floor now as i already put my bed in storage which was 30 minutes away from me. he explained how the package is delayed in transit and had to come from another center as they ran out of stock of the new mattress. i like how he broke down what was going on, but it did not help with the concern of having no bed to sleep in. he went on saying how amazon is such a great company and they offer ""good will"" to customers for these types of problems, and i was offered $30 bucks to go away. i have spent $489 total for a new bed set up and i find $30 bucks as an insult for all the years i have been a prime member and thousands i gladly spent on amazon. now i know its not the workers fault as they can only use what tools they can, and if having a customer sleep on the floor is worth 30 bucks to them i dont want to be that customer anymore. you dont know what you dont know about amazon until you run into something that shows a company true colors. update to review, guess what they sent me an email survey, and i advised what poor service they did they asked me to give them another chance and let them call me back. went through the same statement as before and they said oh they will make it right this time. and offered me $5 bucks more then before. what a joke and now wasted even more of my time.']"
36,52,36_watch_apple_watches_was,"['watch', 'apple', 'watches', 'was', 'grams', 'return', 'box', 'returned', 'series', 'it']","['i am buying a watch in this company', 'i ordered a new seiko watch and received a refurbished watch that wasn\'t good enough to return to the original owner after being repaired. the watch i ordered was supposed to come in a nice box, suitable for gifting as i intended. instead i got a watch on a small pillow in a plastic bag. inside the bag with the watch were documents detailing repairs done for a customer about seven months ago. in the comment box on a form entitled inspection/service/repair form, it states ""scratches on crystal. scratches and dents on bezel and case. inspect, sending a replacement watch."" unbelievable. the first purchaser got a new watch; i got the watch that was not good enough to send back to the original owner. amazon almost certainly shipped this junk watch on purpose, probably playing the odds that the recipient would be too lazy to return it. since it was not in a box as a new seiko would be, it stood out like a sore thumb. it\'s not like somebody at amazon grabbed the wrong watch by mistake. obviously, i am sending the junk watch back, but amazon\'s return policy doesn\'t make up for this attempted swindle. i still have to take my time, effort, and gas to get to the ups store so i can send it back. i stopped using amazon about 4 years ago because of repeated shipping problems and only recently decided to try again. my mistake, i guess.', 'i have used amazon for several years. my wife has opened a account with them. she ordered a watch from amazon for delivery to me. when it arrived there was no watch in the box. i returned the watch to amazon. amazon agreed to a refund, but never got the refund. amazon now say there was no watch in the box when i returned the watch. i my wife and most of my friends will nolonger use a company like this.would like to hear from anyone who has had the same problem.']"
